track_id,artists,album_name,track_name,popularity,track_genre,genre_group
0uETXz9EaPbQPgvHppOQYr,Shanti People;Droplex,Gayatri,Gayatri,39,electronic,electronic
5YVuTCLDxjS8pORppZhNsf,eli.,the way we used to love.,disappear,51,emo,rock
2RM6p5lHeqQswGVfOM2QBu,Behemoth,Opvs Contra Natvram,Neo-Spartacvs,46,black-metal,metal
6Mp9HT5VbhliOB0nizJw8c,Guadalcanal Diary,Flip-Flop,Always Saturday,26,power-pop,pop
5Pg4qYTcvCUBBq3jBhKq0t,Daddy Yankee;Pitbull,LEGENDADDY,HOT,74,latino,latin
2VQ66m1O2NELSZ5d5a4aMQ,"Sergio Vega ""El Shaka""",Me Gusta Estar Contigo,El Terrón,45,r-n-b,hip-hop
1zl6WOLMznRZ4AcOz2rcp4,William Luna,Tu Amor Ajeno,Tu Amor Ajeno,30,guitar,rock
4qnrsi3w3WiFwGsLxQbOv3,Internal Rot,Grieving Birth,Transmission,17,grindcore,metal
27iksNpaur1CcH0w8703by,Linked Horizon,Shinzo wo Sasageyo! (TV Size),Shinzo wo Sasageyo! - TV Size,61,anime,inne
6HIzFtyygvMJaWuWIiiErQ,Extreme Noise Terror,A Holocaust In Your Head,We The Helpless,14,grindcore,metal
1OIET3yptLiovEz07Wpk7y,Antonio Bribiesca,Homenaje a Antonio Bribiesca,La Borrachita,25,guitar,rock
3h0tEwAyOCQDa4X8NEcy0Q,PLÜM,Crazy,Crazy,67,french,world
3VRowfPfpBF3jUwJpL04kW,DJ Ötzi;Nik P.,Karneval 2022 100%,Ein Stern (der deinen Namen trägt) - Party Mix,0,party,pop
5dP3ddhnyTChXznrPEB3Ry,Carlos Gardel,Los Exitos De Sus Peliculas,Rubias De New York,27,tango,latin
0ShzszsULs5leraLg97XNG,Don Mazuck,In Between Dreams,In Between Dreams,64,sleep,classical
04uwJ9uQ9C3MhgwP9NACU9,Mouse On Mars;Cavern of Anti-Matter,21 Again Collaborations (Part 1),Fertilized,43,idm,electronic
5Kna2sPDOd7BA2Soj6eoDN,Bright Visions,Light Speed,Light Speed,21,hardstyle,electronic
6m6kcrobidpOuWj2AazFKr,Antonio José,Sin Buscarte,Sin Buscarte,55,spanish,latin
6NZbOMIeTWxFiB0KkZ70f7,Joachim Pastor;EKE;Lost Frequencies,Be Someone (Lost Frequencies Remix),Be Someone - Lost Frequencies Remix,41,minimal-techno,electronic
678fEaQRCGgyzE4HtY0hpY,Paul Elstak,May The Forze Be With You: Hardcore Edition,Paul´s Nightmare,20,happy,pop
1wYgb2WSoI95dYx2STlgDk,Jorge Drexler,Amar la trama,Aquiles por su talón es Aquiles,31,afrobeat,world
1WlWaCWJRjdEQ5j3LqZ723,Zeca Pagodinho,Mais Feliz,"Um É Ruim, O Outro É Pior",36,samba,latin
0Q4v5mtEG6lpKtHymF3qTl,Andrew Lloyd Webber;Il Divo;Lea Salonga;Simon Chalk,A Musical Affair: Live in Japan,The Music of the Night (with Lea Salonga) - Live in Japan,20,show-tunes,inne
5QIxA1EalEnhkKHxg9qAg8,Norah Jones,Calm Christmas,December,0,j-pop,pop
2z89w2POOafemX8yVmaA21,Mr. Fingers;Ron Wilson,Vault Sessions 1,Chains,10,chicago-house,electronic
47wkGrU4Rxv5VbNfHmEqw4,Mr.Children,BOLERO,Tomorrow never knows,36,j-pop,pop
7L3fJyDWjGnLnfw2errcOV,Bruno Mars;Anderson .Paak;Silk Sonic,Good Vibes,Skate,6,dance,pop
0lp3u9nJusd5l8aKPAWELl,Felipe Araújo;Matheus & Kauan,Mais Um,Mais Um,43,sertanejo,latin
